Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR     518,,,,,DECCA RECORDS,1946,,,"GIUSEPPE DE LUCA ITALIAN ART SONGS DE LUCA, GIUSEPPE (BARITONE). PIETRO CIMARA (PIANIST). DECCA V-1. GREEN, YELLOW AND WHITE COVER, BLACK SPINE. FOUND IN #462 (CABINET). a-ALBUM, b-d-DISCS."
HSTR     519,,,,,RCA VICTOR,,,,"JAMES MELTON IN OPERATIC ARIAS MELTON, JAMES (TENOR). RCA VICTOR ORCHESTRA. BREISACH, PAUL, AND SYLVAN LEVIN (CONDUCTORS). RCA VICTOR M 1013. SHOWBILL COVER LISTS ARIAS. BROWN SPINE. FOUND IN #462 (CABINET). a-ALBUM, b-d-DISCS."
HSTR     520,,,,,COLUMBIA RECORDS,,,,"ROSSINI: IL BARBIERE DI SIVIGLIA (ACT 3) MILAN SYMPHONY ORCHESTRA AND CHORUS, WITH SOLOISTS. MOLAJOLI, CAV. LORENZO (CONDUCTOR). COLUMBIA MASTERWORKS MM OP.8. BLACK, RED AND WHITE COVER, BLACK SPINE. CARDBOARD CUSHION INSERT. FOUND IN #462 (CABINET). a-ALBUM, b-f-DISCS. ALBUM COVER WORN."
HSTR     521,,,,,COLUMBIA RECORDS,,,,"BIZET: CARMEN - EXCERPTS METROPOLITAN OPERA CHORUS AND ORCHESTRA, WITH SOLOISTS. SEBASTIAN, GEORGE (CONDUCTOR). COLUMBIA MASTERWORKS MM 607. COLORFUL GREEN AND RED COVER, BLACK LEATHERETTE SPINE. FOUND IN #462 (CABINET). a-ALBUM, b-f-DISCS."
HSTR     522,,,,,RCA VICTOR,,,,"BEETHOVEN: SONATA IN C-SHARP MINOR, OP.27, NO.2 ""MOONLIGHT"" HOROWITZ, VLADIMIR (PIANIST). RCA VICTOR DM 1115. BLUE, BLACK AND YELLOW COVER, BLUE CLOTH SPINE. LABEL INSIDE COVER: ""THE DISC SHOP/..."". FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS. COVER WARPED."
HSTR     523,,,,,COLUMBIA RECORDS,,,,"RAVEL: LA VALSE - A CHOREOGRAPHIC POEM THE PHILHARMONIC-SYMPHONY ORCHESTRA OF NEW YORK. BARBIROLLI, JOHN (CONDUCTOR). COLUMBIA MASTERWORKS MX 207. BLACK, RED AND WHITE COVER, BLACK LEATHERETTE SPINE. CARDBOARD CUSHION INSERT. FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS. BACK COVER WARPED."
HSTR     524,,,,,RCA VICTOR,,,,"STRAVINSKY: DIVERTIMENTO FROM ""THE FAIRY'S KISS"" RCA VICTOR SYMPHONY ORCHESTRA. STRAVINSKY, IGOR (CONDUCTOR). RCA VICTOR DM 1202. YELLOW, RED AND BLACK COVER WITH BALLET DANCERS. BROWN LEATHERETTE SPINE. FOUND IN #462 (CABINET). a-ALBUM, b-d-DISCS."
HSTR     525,,,,,RCA VICTOR,,,,"I HEAR AMERICA SINGING THOMAS, JOHN CHARLES (BARITONE). VICTOR SYMPHONY ORCHESTRA. I.L.G.W.U. RADIO CHORUS. SHILKRET, NATHANIEL (CONDUCTOR). RCA VICTOR M 777. ""FOR/PRESIDENT/FRANKLIN DELANO ROOSEVELT/WITH THE BEST WISHES/OF/JOHN CHARLES THOMAS"". FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS. BACK OF COVER NICKED."
HSTR     526,,,,,LONDON RECORDS,,,,"EMMERICH KALMAN SUITE ZURICH TONHALLE ORCHESTRA. REINSHAGEN, VICTOR (CONDUCTOR). LONDON LA 20. INSIDE COVER ""TO '298 GYPY' EMMERICH KALMAN 26/V NEW YORK"". FOUND IN #462 (CABINET). a-ALBUM, b-c-DISCS."
HSTR     527,,,,,RCA VICTOR,,,,"CHOPIN WALTZES (VOLUME I) BRAILOWSKY, ALEXANDER (PIANIST). RCA VICTOR MO 863 (CONTAINS DISKS OF M 863). CONTAINS CALLING CARD WITH PENNED ""HAPPY BIRTHDAY/[FROM] PAUL"" AND ENVELOPE. FOUND IN #462 (CABINET). a-ALBUM, b-e-DISCS. SEE CATALOG FOLDER."
