Catalog #,Title,Composer,Performer,Genre,Label,Date,Media Type,RPM,Comments
HSTR    4374,,,,,RCA VICTOR,,,,"TCHAIKOVSKY: SYMPHONY NO.5 IN E MINOR, OP.64 BOSTON SYMPHONY ORCHESTRA. KOUSSEVITZKY, SERGE (CONDUCTOR). RCA VICTOR DM-1057. NO RPM. BROWN SPINE. COLORFUL COVER SHOWS PEOPLE AMID RUBBLE. a-ALBUM, b-g-DISCS. CARDBOARD CUSHION."
HSTR    4375,,,,,,1947,,,"VARIOUS TITLES, UNITED STATES ARMY AIR FORCES BAND.
HOWARD, GEORGE S. (CONDUCTOR).
NO RPM. GREEN LEATHERETTE COVER, BLACK DISC LABELS. PENNED INSIDE COVER: ""TO MY COMMANDER IN CHIEF/A VERY MERRY CHRISTMAS/GEORGE SALLADE HOWARD, CAPT. A.C."". a-ALBUM, b-g-DISCS."
HSTR    4376,,,,,DECCA RECORDS,,,,"DELIBES: SYLVIA - BALLET MUSIC BBC THEATER ORCHESTRA. ROBINSON, STANFORD (CONDUCTOR). DECCA AK-1364-1365. NO RPM. BLACK SPINE. GREEN AND WHITE COVER. SLEEVE HAS LABEL: ""THE DISC SHOP/.../WASHINGTON, D.C."" a-ALBUM, b-c-DISCS, d-PROGRAM."
HSTR    4377,,,,,COLUMBIA RECORDS,,,,"ROSSINI: IL BARBIERE DI SIVIGLIA (ACT I) MILAN SYMPHONY ORCHESTRA, WITH SOLOISTS AND CHORUS. MOLAJOLI, CAV. LORENZO (CONDUCTOR). COLUMBIA MASTERWORKS MM OP.8A. NO RPM. DARK BLUE CLOTH SPINE. BLACK, WHITE AND RED COVER. a-ALBUM, b-f-DISCS, g-PROGRAM. TWO CARDBOARD PADS. SEE #4380 (ALBUM)."
HSTR    4378,,,,,DECCA RECORDS,1945,,,"CAROUSEL - SELECTIONS FROM THE THEATRE GUILD MUSICAL PLAY CAROUSEL ORCHESTRA AND CHORUS, WITH SOLOISTS. LITTAU, JOSEPH (DIRECTOR). DECCA DA-400. NO RPM. BLACK SPINE. GREEN COVER WITH PHOTOS OF CAST OF MUSICAL PLAY. a-ALBUM, b-f-DISCS, g-PROGRAM."
HSTR    4379,,,,,,12/20/1956,,,"UNKNOWN TITLE UNKNOWN PERFORMER. SEALED BROWN CARDBOARD PACKAGE. TO: HST, INDEPENDENCE, MISSOURI. FROM: ""YALE UNIVERSITY AUDIO VISUAL CENTER/.../NEW HAVEN, CT"". BLUE PACKING TAPE. RED ""HANDLE WITH CARE"" LABEL."
HSTR    4380,,,,,COLUMBIA RECORDS,,,,"ROSSINI: IL BARBIERE DI SIVIGLIA (VOLUME 2) MILAN SYMPHONY ORCHESTRA, WITH SOLOISTS AND CHORUS. MOLAJOLI, CAV. LORENZO (CONDUCTOR). COLUMBIA MASTERWORKS MM OP.8B. NO RPM. DARK BLUE CLOTH SPINE. BLACK, WHITE AND RED COVER. a-ALBUM, b-g-DISCS. SEE #4377 (ALBUM)."
HSTR    4381,,,,,COLUMBIA RECORDS,,,,"DONIZETTI: DAUGHTER OF THE REGIMENT PONS, LILY (SOPRANO). METROPOLITAN OPERA ORCHESTRA. CIMARA, PIETRO (CONDUCTOR). COLUMBIA MASTERWORKS X-206. NO RPM. RED CLOTH SPINE. WHITE, RED AND BLUE COVER. LIGHT BLUE BACK. a-ALBUM, b-c-DISCS."
HSTR    4382,,,,,RCA VICTOR,,,,"STARS OF THE METROPOLITAN VARIOUS SOLOISTS WITH ORCHESTRAS. RCA VICTOR M-329. NO RPM. MAROON LEATHERETTE SPINE. BEIGE TEXTURED COVER. a-ALBUM, b-f-DISCS. CARDBOARD PAD."
HSTR    4383,,,,,RCA VICTOR,,,,"SHAKESPEARE: HENRY V. OLIVIER, LAURENCE WITH THE PHILHARMONICA ORCHESTRA AND CHORUS. WALTON, WILLIAM (CONDUCTOR). RCA VICTOR DM 1128. 4 DISCS. 4 SHEETS OF NOTES AND TEXT. PENCILLED NOTES ON ATTACHED PAGES. INKED NOTES ON SLEEVE OF b. POSS. BY MARGARET TRUMAN. a-JACKET, b-e-DISCS. 1 PAGE OF NOTES TORN AWAY FROM BINDING STAPLES. COVERS FADED."
HSTR    4384,,,,,COLUMBIA RECORDS,,,,"CLAUDIA MUZIO OPERATIC RECITAL. MUZIO, CLAUDIA (SOPRANO). MOLAJOLI, LORENZO (CONDUCTOR). COLUMBIA MASTERWORKS SET M-259. UNKNOWN RPM. BLACK CLOTH SPINE. ON STICKER ON SLEEVE OF b: ""BALLARD/WASHINGTON, D.C."". a-JACKET, b-e-DISCS. SLEEVES FADED AROUND EDGES."
HSTR    4385,,,,,COLUMBIA RECORDS,,,,"GERSHWIN: RHAPSODY IN BLUE TEMPLETON, ALEC (PIANO). ANDRE KOSTELANETZ ORCHESTRA. KOSTELANETZ, ANDRE (CONDUCTOR). COLUMBIA X-196. NO RPM. BLUE CLOTH SPINE. BLUE COVER. a-ALBUM, b-c-DISCS. CARDBOARD PAD."
HSTR    4426,,,,,LONDON RECORDS,,,,"VICTOR OLOF ORCHESTRAL CONCERT. L'ORCHESTRE DE LA SUISSE ROMANDE. OLOF, VICTOR (CONDUCTOR). LONDON LLP.225. 33.3 RPM. RED LABEL WITH GOLD PRINTING. NO JACKET OR SLEEVE.  SMALL SCRATCHES OVERALL."
HSTR    4427,,,,,RCA VICTOR,,,,"BRAHMS: SYMPHONY NO.1 IN C MINOR, OP.68 HOLLYWOOD BOWL SYMPHONY ORCHESTRA. STOKOWSKI, LEOPOLD (CONDUCTOR). RCA VICTOR LM-1070. 33.3 RPM. YELLOW JACKET WITH COLOR PICTURE OF MAN WALKING ON FRONT. BLACK PRINTING ON REVERSE. NO SLEEVE. a-JACKET, b-DISC. WATER SPOTS ON FRONT OF a. CORNERS AND EDGES WORN."
HSTR    4428,,,,,MERCURY RECORDS,,,,"FOR YOUR LISTENING PLEASURE. THE HOLLYWOOD SYMPHONY ORCHESTRA. NEWMAN, ALFRED (CONDUCTOR). MERCURY MGMH 20038. UNKNOWN RPM. GREEN, PINK AND TEAL GLOSS COVER. DISC HAS BLACK LABEL WITH SILVER PRINTING. NO SLEEVE. a-JACKET, b-DISC. EDGES AND CORNERS WORN."
HSTR    4429,,,,,COLUMBIA RECORDS,1950,,,"MUSIC OF FRITZ KREISLER, MUSIC OF SIGMUND ROMBERG. KOSTELANTZ, ANDRE AND HIS ORCHESTRA. COLUMBIA MASTERWORKS ML 4253. 33.3 RPM. YELLOW, GREEN, BLACK, AND WHITE COVER. PICTURE OF LOCK AND KEY. NO SLEEVE. a-JACKET, b-DISC. EDGES AND CORNERS WORN."
HSTR    4430,,,,,COLUMBIA RECORDS,1949,,,"KREISLER FAVORITES AND PAGANINI CAPRICES. FRANCESCATTI, ZINO (VIOLINIST), ARTUR BALSAM (PIANIST). COLUMBIA MASTERWORKS ML 4219. UNKNOWN RPM. COVER IS GOLD-COLORED. PICTURE OF TABLE, VIOLIN, AND BOW. a-JACKET, b-DISC. BOTTOM EDGE OF JACKET SPLIT."
HSTR    4431,,,,,RCA VICTOR,,,,"BEETHOVEN: SYMPHONY NO.9 IN D MINOR, OP.125 ""CHORAL"" N.B.C. SYMPHONY WITH SOLOISTS AND ROBERT SHAW CHORAL. TOSCANINI, ARTURO (CONDUCTOR). RCA VICTOR E2-RP-4097-4099. 33.3 RPM. PAPER CLIPPED TO d IS A CARD:""WITH THE COMPLIMENTS OF/FRANK M. FOLSOM"". BLACK CARDBOARD ALBUM. a-ALBUM, b-c-DISCS, d-e-SLEEVES, f-CALLING CARD. FRONTS OF SLEEVES VERY YELLOWED. LABEL ON SPINE OF a PARTIALLY GONE."
HSTR    4432,,,,,COLUMBIA RECORDS,,,,"MUSCIAL COMEDY FAVORITES. KOSTELANETZ, ANDRE AND HIS ORCHESTRA. COLUMBIA MASTERWORKS NL 54241. UNKNOWN RPM. GREEN LABEL WITH GOLD PRINTING. NO JACKET OR SLEEVE.  SCRATCHED AND DIRTY OVERALL."
HSTR    4433,,,,,LONDON RECORDS,1950,,,"OPERATIC HIGHLIGHTS FOR ORCHESTRA NO. 2. THE LONDON PHILHARMONIC ORCHESTRA. COLLINS, ANTHONY (CONDUCTOR). LONDON LLP.200. 33.3 RPM. BROWN, TAN, WHITE AND BLACK COVER. PICTURE OF CONDUCTOR'S HAND AND BATON. NO SLEEVE. a-JACKET, b-DISC. EDGES AND CORNERS SLIGHTLY WORN."
HSTR    4434,,,,,COLUMBIA RECORDS,1959,,,"WIENIAWSKI: CONCERTO NO.2 IN D MINOR, OP.22
STERN, ISAAC (VIOLINIST), PHILADELPHIA ORCHESTRA, ORMANDY, EUGENE (CONDUCTOR). COLUMBIA MASTERWORKS ML 5208. UNKNOWN RPM. WRITTEN ON COVER: ""TO PRESIDENT HARRY S. TRUMAN--/WITH ADMIRATION AND RESPECT.../ISAAC STERN/1959"". a-JACKET, b-DISC, c-SLEEVE. SEE CATALOG FOLDER. EDGES AND CORNERS WORN. INSCRIPTION SMUDGED. PAPER YELLOWED."
HSTR    4435,,,,,COLUMBIA RECORDS,,,,"CUTTIN' CAPERS. DAY, DORIS WITH FRANK DE VOL AND HIS ORCHESTRA. COLUMBIA CL 1232. UNKNOWN RPM. PHOTO OF DORIS DAY ON JACKET COVER.  a-JACKET, b-DISC, c-SLEEVE. EDGES AND CORNERS WORN. PAPER YELLOWED."
HSTR    4436,,,,,RCA VICTOR,,,,"RACHMANINOFF: RHAPSODY ON A THEME OF PAGANINI, OP. 43. RUBINSTEIN, ARTUR (PIANIST) WITH THE PHILHARMONICA ORCHESTRA. SUSSKIND, WALTER (CONDUCTOR). RCA VICTOR DM 1269. UNKNOWN RPM. PRINTED ON COVER IN GILT: ""MERRY CHRISTMAS/FROM/FRANK M. FOLSOM"" . SEALED IN CELLOPHANE WRAP. UNOPENED.  PLASTIC SOMEWHAT YELLOWED."
HSTR    4437,,,,,RCA VICTOR,,,,"VARIOUS TITLES. ITURBI, JOSE (PIANIST). RCA VICTOR. VARIOUS RECORDING NUMBERS. 11 DISCS IN SLEEVES. DISCS ARE RED. TAN CLOTH COVERS. BROWN SIMULATED LEATHER SPINE. UNKNOWN RPM. a-ALBUM, b-l-DISCS. SEE CATALOG FOLDER. SPINE OF ALBUM DETERIORATING AND CRUMBLING."
HSTR    4438,,,,,RCA VICTOR,,,,"VARIOUS TITLES. ITURBI, JOSE WITH AMPARO ITURBI AND THE ROCHESTER PHILHARMONIC ORCHESTRA. RCA VICTOR. VARIOUS RECORDING NUMBERS. 10 DISCS IN SLEEVES. DISCS ARE RED. TAN CLOTH COVERS. BROWN SIMULATED LEATHER SPINE. UNKNOWN RPM. a-ALBUM, b-k-DISCS. SEE CATALOG FOLDER. SPINE OF ALBUM DETERIORATING."
HSTR    4439,,,,,RCA VICTOR,,,,"VARIOUS TITLES. ITURBI, JOSE WITH AMPARO ITURBI, THE ROCHESTER PHILHARMONIC ORCH. AND B.B.C. SYMPH. ORCH. RCA VICTOR. VARIOUS RECORDING NUMBERS. 10 DISCS IN SLEEVES. DISCS ARE RED. TAN CLOTH COVERS. BROWN SIMULATED LEATHER SPINE. UNKNOWN RPM. a-ALBUM, b-k-DISCS. SEE CATALOG FOLDER. SPINE OF ALBUM DETERIORATING. WHITE SPOTS (MILDEW?) ON FRONT COVER."
HSTR    4485,,,,,,1955,,,"BEST OF MARK TWAIN, THE.  17 STORIES AND SKETCHES.  ST. JOSEPH, MI: AUDIO BOOK COMPANY 1955. WRITTEN IN BLUE INK IN HST'S HANDWRITING ABOVE TITLE INSIDE FRONT COVER OF (A): ""LOU GERSHON"". NO OTHER INSIDE MARKS.   a-COVER, b-e-RECORDS. RECEIVED IN 1959, SEE LETTER (HSTR 4486) FOUND CLIPPED TO FRONT COVER."
HSTR    4588,,,,,RCA VICTOR,,,,"ELGAR: POMP AND CIRCUMSTANCE MARCHES NOS. 1, 2, 3, & 4. TORONTO SYMPHONY ORCHESTRA. MACMILLAN, SIR ERNEST (CONDUCTOR). VICTOR M911-2. UNKNOWN RPM. BROWN PAPER COVER WITH BROWN CLOTH SPINE. TWO DISCS IN SLEEVES. a-JACKET, b-c-DISCS. SLEEVES YELLOWED."
HSTR    4589,,,,,RCA VICTOR,,,,"VOICES OF THE GOLDEN AGE OF OPERA (VOLUME I) VARIOUS SOLOISTS, WITH ORCHESTRA. RCA VICTOR M-816. NO RPM. MAROON LEATHERETTE SPINE. BROWN TEXTURED COVER. PENCILED ON FIRST SLEEVE: ""5.78"". a-ALBUM, b-f-DISCS, g-PROGRAM. CARDBOARD PAD."
HSTR    4590,,,,,RCA VICTOR,,,,"TCHAIKOVSKY: SLEEPING BEAUTY BALLET (EXCERPTS). STOKOWSKI, LEOPOLD AND HIS SYMPHONY ORCHESTRA. STOKOWSKI, LEOPOLD (CONDUCTOR). RCA VICTOR DM 1205. UNKNOWN RPM. PINK COVER WITH ILLUS- TRATION OF SLEEPING BEAUTY AND PRINCE. GREEN CLOTH SPINE. 6 DISCS IN SLEEVES. a-JACKET, b-g-DISCS. EDGES FADED. BR CORNER WORN."
HSTR    4591,,,,,RCA VICTOR,,,,"STARS OF THE METROPOLITAN (VOLUME II) VARIOUS SOLOISTS, WITH ORCHESTRA. RCA VICTOR M-633. NO RPM. RED LEATHERETTE SPINE. COVER HAS PHOTO OF OPERA HOUSE INTERIOR. a-ALBUM, b-f-DISCS. CARDBOARD PAD."
HSTR    4872,,,,,,,,,"W. A. MOZART   a-COVER, b-BOOKLET, c-e-RECORDS (FACTORY SEALED IN CELLOPHANE)"
HSTR    4876,,,,,COLUMBIA RECORDS,,,,"BY REQUEST EDDY, NELSON (BARITONE). ARMBRUSTER, ROBERT (CONDUCTOR). COLUMBIA MASTERWORKS SET M-571. UNKNOWN RPM. BLACK CLOTH SPINE. GREEN AND CREAM FRONT COVER. IN PENCIL, INSIDE FRONT COVER: ""3.75/MARGARET/TRUMAN"". a-ALBUM, b-e-DISCS. SLEEVES FADED."
HSTR    4877,,,,,COLUMBIA RECORDS,,,,"NELSON EDDY: FOUR INDIAN LOVE LYRICS. EDDY, NELSON (BARITONE) WITH ORCHESTRA. FINSTON, NATHANIEL (CONDUCTOR). COLUMBIA SET X-150. UNKNOWN RPM. BLACK AND WHITE PHOTOS OF EDDY ON COVERS. RED CLOTH SPINE. a-ALBUM, b-c-DISCS, d-e-CARDBOARD PACKING. EDGES AND CORNERS WORN."
HSTR    4878,,,,,DECCA RECORDS,1946,,,"ETHEL MERMAN: ANNIE GET YOUR GUN (BERLIN). MERMAN, ETHEL WITH RAY MIDDLETON AND ORIGINAL BROADWAY CAST (VOCALISTS). BLACKTON, JAY (CONDUCTOR). DECCA ALBUM 468. UNKNOWN RPM. GREEN COVER WITH PHOTO OF MERMAN. GREEN AND WHITE PROGRAM BOOKLET. a-ALBUM, b-g-DISCS, h-PROGRAM. EDGES AND CORNERS WORN."
HSTR    4879,,,,,DECCA RECORDS,,,,"ALBUM OF SACRED MUSIC, AN CARR, ROSE ANN (SOPRANO). PARK RECORDS 77678-77685. UNKNOWN RPM. BLACK AND WHITE PHOTO OF CHURCH ON COVER. BLACK CLOTH SPINE. 2 CARDBOARD INSERTS AND 4 EMPTY SLEEVES. a-ALBUM, b-e-DISCS, f-g-CARDBOARD INSERTS, h-k-EMPTY SLEEVES. EDGES AND CORNERS WORN."
HSTR    4880,,,,,,,,,"VARIOUS TITLES. VARI0US ARTISTS. INSIDE FRONT COVER IN WHITE INK ARE WRITTEN RECORD NUMBERS, TITLES, AND ARTISTS' NAMES. SOME ARE MISMATCHED TO DISCS. IN WHITE INK ON DISC LABELS AND SLEEVES ARE ROMAN NUMBERS I-XII. ""I"" IN WHITE INK ON SPINE. MAROON COVERS. p TAPED TO BACK COVER. a-ALBUM, b-o-DISCS, p-SLEEVE. SEE CATALOG FOLDER. TAPE ON p HAS RELEASED. EDGES AND CORNERS OF ALBUM WORN."
HSTR    4881,,,,,COLUMBIA RECORDS,1946,,,"HYMNS WE LOVE. EDDY, NELSON (BARITONE) WITH THEODORE PAXSON (ORGAN). COLUMBIA MASTERWORKS SET M-646. UNKNOWN RPM. GOLD, RED, AND BLACK FRONT COVER. BLACK CLOTH SPINE. a-ALBUM, b-f-DISCS. EDGES AND CORNERS WORN."
HSTR    4882,,,,,RCA VICTOR,,,,"TWELVE BELOVED AMERICAN SONGS. EDDY, NELSON (BARITONE). SHILKRET, NATHANIEL (CONDUCTOR). RCA VICTOR 4366-4371. UNKNOWN RPM. BLACK AND WHITE PHOTO OF EDDY INSIDE FRONT COVER. PICTURE OF MUSICAL INSTRUMENTS ON COVER. RED CLOTH SPINE. a-ALBUM, b-g-DISCS, h-CARDBOARD PACKING. EDGES AND CORNERS WORN."
HSTR    4883,,,,,,02/17/1949,,,"VARIOUS TITLES.
DURANTE, JIMMY. ROY BARGY (CONDUCTOR).
MGM RECORDS. VARIOUS RECORD NUMBERS.
BROWN CLOTH COVERS. IN PENCIL INSIDE FRONT COVER AND ON FIRST SLEEVE: ""ACK'D 2/17/49 RAC"" [ROSE A. CONWAY]. a-ALBUM, b-f-DISCS. SEE CATALOG FOLDER. SLEEVES YELLOWED. CORNERS WORN."
HSTR    4884,,,,,,,,,"VARIOUS TITLES. VARIOUS ARTISTS. INSIDE FRONT COVER IN WHITE INK ARE WRITTEN RECORD NUMBERS, TITLES, AND ARTISTS. ON SLEEVES AND DISCS IN INK ARE ROMAN NUMERALS I-XII. ""II"" IN WHITE INK ON SPINE. MAROON LEATHER-TEXTURED PAPER COVERS. a-ALBUM, b-l-DISCS. SEE CATALOG FOLDER. EDGES AND CORNERS WORN."
HSTR    4885,,,,,COLUMBIA RECORDS,1947,,,"PATTER SONGS FROM GILBERT AND SULLIVAN, VOLUME 2. EDDY, NELSON (BARITONE). ARMBRUSTER, ROBERT (CONDUCTOR). COLUMBIA MASTERWORKS SET M-670. UNKNOWN RPM. MULTI- COLORED COVER WITH PHOTO OF EDDY. BLACK CLOTH SPINE. a-ALBUM, b-d-DISCS. PAPER YELLOWED. CORNERS AND EDGES WORN."
HSTR    4886,,,,,COLUMBIA RECORDS,,,,"PATTER SONGS FROM GILBERT AND SULLIVAN. EDDY, NELSON (BARITONE). ARMBRUSTER, ROBERT (CONDUCTOR). COLUMBIA MASTERWORKS SET M-440. UNKNOWN RPM. BLUE COVERS WITH YELLOW AND WHITE DOTS. BLACK CLOTH SPINE. a-ALBUM, b-d-DISCS. BOTTOM OF SPINE TORN. EDGES AND CORNERS WORN."
HSTR    4887,,,,,RCA VICTOR,,,,"ALL TIME HITS FROM THE HILLS ARNOLD, EDDY (VOCALIST) AND HIS TENNESSEE PLOWBOYS. RCA VICTOR P 195. UNKNOWN RPM. ORANGE COVER WITH PHOTO OF ARNOLD. RED PAPER SPINE.  a-ALBUM, b-e-DISCS. BOTTOM OF SPINE TORN. EDGES AND CORNERS WORN."
HSTR    4888,,,,,RCA VICTOR,,,,"CHOPIN: WALTZES (OP.69-70 & POSTHUMOUS) VOLUME 2
BRAILOWSKY, ALEXANDER (PIANO).
RCA VICTOR M-864. NO RPM. CARD TAPED INSIDE: ""LOADS AND LOADS/OF LOVE TO/DADDY ON 'HIS'/DAY FROM 'SISTIE'"". a-ALBUM, b-d-DISCS. CARDBOARD PAD."
HSTR    4889,,,,,SELZNICK STUDIOS,,,,"SPELLBOUND (EXCERPTS FROM THE MOTION PICTURE MUSICAL SCORE) SELZNICK RECORDING ORCHESTRA. ROZSA, MIKLOS (CONDUCTOR). SELZNICK LIBRARY SERIES NO.2. NO RPM. BLUE SPINE, BLACK AND GRAY COVER. REVERSE OF DISCS CONTAIN EXCERPTS FROM ""SINCE YOU WENT AWAY"". a-ALBUM, b-d-DISCS. CONTAINED #4890 (PROGRAM). THREE CARDBOARD PADS. TOP OF SPINE TEARING AWAY."
HSTR    4891,,,,,MASTER RECORD CO.,1950,,,"SONGS BY JIM MCCAHEY MCCAHEY, JIM (VOCAL). MASTER 101, 201, 301, 501, 601. NO RPM. GREEN FAUX LEATHER COVER. GREEN DISC LABELS. a-ALBUM, b-f-DISCS. CONTAINED #4892 (LABEL). SEE CATALOG FOLDER AND #4893 (ALBUM)."
HSTR    4893,,,,,MASTER RECORD CO.,,,,"SONGS BY JIM MCCAHEY MCCAHEY, JIM (VOCAL). MASTER UB50. NO RPM. CONTAINS MISMATCHED DISCS FROM #4891 (ALBUM). GREEN FAUX LEATHER COVER. BLUE AND GREEN DISC LABELS. a-ALBUM, b-f-DISCS. SEE CATALOG FOLDER."
HSTR    4894,,,,,,1948,,,"PRESIDENT'S MARCH, THE LONGINES SYMPHONETTE. PIASTRO, MISHEL (CONDUCTOR). LONGINES-WITTNAMER WATCH CO. NO RPM. MAROON LEATHER COVER. GOLD EMBOSSED ""PLAYED AND RECORDED FOR/PRESIDENT HARRY S. TRUMAN"". a-ALBUM, b-DISC. CONTAINED #4895 (LABEL)."
HSTR    4896,,,,,RCA VICTOR,1940,,,"RAVEL: CONCERTO FOR PIANO AND ORCHESTRA (1932) BERNSTEIN, LEONARD (PIANO). PHILHARMONIA ORCHESTRA OF LONDON. BERNSTEIN, LEONARD (CONDUCTOR). RCA VICTOR DV-15. NO RPM. MAROON SPINE. PURPLE CLOTH COVER. RED DISCS WITH RED LABELS. a-ALBUM, b-d-DISCS."
HSTR    4897,,,,,COLUMBIA RECORDS,1949,,,"I CAN HEAR IT NOW VOLUME 2 (1945-1949) MURROW, EDWARD R. (NARRATOR). VARIOUS WORLD LEADERS AND PERSONALITIES. COLUMBIA MASTERWORKS MM-881. NO RPM. BLACK SPINE. RED, YELLOW AND WHITE COVER WITH PHOTOS OF FAMOUS PEOPLE. a-ALBUM, b-f-DISCS."
HSTR    4898,,,,,RCA VICTOR,,,,"JOSE AND AMPARO ITURBI PLAY MUSIC ON TWO PIANOS ITURBI, JOSE AND AMPARO (DUO-PIANO). RCA VICTOR DM-1246. NO RPM. MAROON SPINE. RED, YELLOW AND BLACK COVER. a-ALBUM, b-d-DISCS."
HSTR    4899,,,,,RCA VICTOR,,,,"SCHUMANN: CONCERTO IN A MINOR, OP.54 HESS, MYRA (PIANO) WITH ORCHESTRA. GOEHR, WALTER (CONDUCTOR). RCA VICTOR DM-473. NO RPM. BLUE LEATHERETTE BINDING. GRAY TEXTURED COVER. a-ALBUM, b-e-DISCS. CONTAINED #4900 (PROGRAM). CARDBOARD PAD."
HSTR    4901,,,,,DECCA RECORDS,1950,,,"MOZART: SIX SONATAS FOR PIANO AND VIOLIN KRAUS, LILI (PIANO). SZYMON GOLDBERG (VIOLIN). DECCA DX-103. 33 RPM. BLACK FAUX LEATHER SPINE. LIGHT BLUE COVER. a-ALBUM, b-PROGRAM, c-e-DISCS."
HSTR    4902,,,,,RCA VICTOR,1942,,,"RIMSKY-KORSAKOFF: ANTAR SYMPHONY NO.2, OP.9 SAN FRANCISCO SYMPHONY ORCHESTRA. MONTEUX, PIERRE (CONDUCTOR). RCA VICTOR DM-1203. NO RPM. BLUE FAUX LEATHER SPINE. COVER HAS MOORISH FIGURE, DRAGON AND DEER. a-ALBUM, b-d-DISCS."
HSTR    4903,,,,,DECCA RECORDS,,,,"BRAHMS: CONCERTO NO.1 IN D MINOR FOR PIANO AND ORCHESTRA, OP.15
CURZON, CLIFFORD (PIANO). NATIONAL SYMPHONY ORCHESTRA.
JORDA, ENRIQUE (CONDUCTOR). DECCA EDA-47. NO RPM. BLACK SPINE. CALLING CARD TAPED INSIDE FROM: ""HOLLYWOOD RECORD CO./ .../ WASHINGTON, D.C."". PENNED: ""HAPPY BIRTHDAY MR. PRESIDENT"". a-ALBUM, b-g-DISCS."
HSTR    4916,,,,,VICTOR RECORDS,05/8/1946,,,"BEETHOVEN: SYMPHONY NO.1 IN C MAJOR /  BRAHMS: TRAGIC OVERTURE TOSCANINI, ARTURO AND THE B.B.C SYMPHONY ORCHESTRA. TOSCANINI, ARTURO (CONDUCTOR). VICTOR DM 507. UNKNOWN RPM. IN INK INSIDE FRONT COVER: ""WITH LOADS OF/LOVE ON DADDY'S 'DAY'/ FROM/'SKINNY' [MARGARET]/ MAY 8TH, 1946"". GREEN COVER. a-ALBUM, b-f-DISCS, g-h-CARDBOARD INSERTS. CONTAINED #4917 (PROGRAM). b IS BROKEN INTO 2 PIECES. f IS CHIPPED AT ONE EDGE."
HSTR    4918,,,,,RCA VICTOR,,,,"POULENC: CONCERTO IN D MINOR FOR TWO PIANOS AND ORCHESTRA. WHITTEMORE, ARTHUR AND JACK LOWE (DUO-PIANISTS) WITH THE RCA VICTOR SYMPHONY ORCHESTRA. MITROPOULOS, DIMITRI (CONDUCTOR). RCA VICTOR DM 1235. UNKNOWN RPM. BLUE, BLACK AND WHITE COVER. BLUE CLOTH SPINE. a-ALBUM, b-d-DISCS. CONTAINED #4919-4920 (RECORD, PHONOGRAPH). YELLOWED. EDGES AND CORNERS WORN."
HSTR    4919,,,,,EDWARD A. ROCHE STUDIOS,1947,,,"MARGARET TRUMAN (FIVE ARIAS) TRUMAN, MARGARET (SOPRANO), WITH FLUTE OBLIGATO. EDWARD A. ROCHE RECORDING, MT6A & 6B. 78 RPM. 1310 WYANDOTTE, KANSAS CITY, MISSOURI. a-DISK, b-c-LABELS, d-CARDBOARD. FOUND IN #4918 (ALBUM). SEE CATALOG FOLDER. ONE SIDE VERY DIRTY."
HSTR    4920,,,,,EDWARD A. ROCHE STUDIOS,1947,,,"MARGARET TRUMAN (FRENCH FOLK SONGS) TRUMAN, MARGARET (SOPRANO), WITH FLUTE OBLIGATO. EDWARD A. ROCHE RECORDING, MT2A, 2B & 2C. 78 RPM. 1310 WYANDOTTE, KANSAS CITY, MISSOURI. a-DISK, b-c-LABELS. FOUND IN #4918 (ALBUM). SEE CATALOG FOLDER. BOTH SIDES VERY DIRTY."
HSTR    4921,,,,,ADVANCE RECORDS,,,,"INTERLUDE WITH LORRY RAINE. RAINE, LORRY (VOCALIST). RIDDLE, NELSON AND RUSS GARCIA (CONDUCTORS). ADVANCE RECORDS LP 714. 33.3 RPM. 2 PHOTOS OF RAINE ON COVER. NO SLEEVE. a-JACKET, b-DISC. BOTTOM AND TOP EDGES SPLIT. YELLOWED."
HSTR    4922,,,,,RCA VICTOR,1940,,,"RAVEL: RAPSODIE ESPAGNOLE. BOSTON SYMPHONY ORCHESTRA. KOUSSEVITZKY, SERGE (CONDUCTOR). RCA VICTOR DM 1200. UNKNOWN RPM. ORANGE AND BLUE COVER DESIGN. BLUE CLOTH SPINE. a-ALBUM, b-c-DISCS. EDGES AND CORNERS WORN."
HSTR    4923,,,,,RCA VICTOR,,,,"COMPLETE CHOPIN ETUDES. BRAILOWSKY, ALEXANDER (PIANIST). RCA VICTOR DM-1171. UNKNOWN RPM. GREEN COVER WITH ILLUSTRATION OF A MAN. BLUE CLOTH SPINE.  a-ALBUM, b-i-DISCS. CORNERS BENT. EDGES WORN."
HSTR    4924,,,,,SONORA RADIO & TELEVISION,,,,"SPARKLING PIANO MELODIES PLAYED BY PAULINE ALPERT. ALPERT, PAULINE (PIANIST). SONORA ALBUM MS-460-6. UNKNOWN RPM. MULTI-COLORED FRONT. COVER HAS PHOTO OF WOMAN ON AN EASEL AND A WOMAN PLAYING PIANO ON COVER. BLACK CLOTH SPINE. a-ALBUM, b-e-DISCS. SMUDGE AT CR OF COVER. EDGES AND CORNERS WORN."
